loan_id,credit_score,ltv_ratio,dti_ratio,loan_amount,loan_age_months,original_interest_rate,num_units,occupancy_type,loan_purpose,state,property_value,num_borrowers,months_since_last_payment,is_delinquent,refinance_probability,loan_status,servicing_fee,next_payment_date
FMAC-00001,714,89.68,18.92,621770,23,8.876,1,Primary,Purchase,NC,1129696,2,2,0,0.39,Current,129.54,2025-01-01
FMAC-00002,670,69.73,29.4,134225,155,6.289,1,Primary,Cash-Out Refinance,FL,428905,2,0,0,0.405,Current,27.96,2025-01-02
FMAC-00003,725,65.73,33.86,269921,186,6.702,1,Primary,Cash-Out Refinance,AZ,752862,1,0,1,0.439,90+ DQ,56.23,2025-01-03
FMAC-00004,786,77.95,56.88,679142,249,7.638,1,Primary,Purchase,AZ,1090387,2,0,0,0.505,Current,141.49,2025-01-04
FMAC-00005,663,75.45,43.57,645544,237,7.112,1,Primary,Refinance,OH,136764,1,0,1,0.508,30-Day DQ,134.49,2025-01-05
FMAC-00006,663,71.2,24.65,320617,293,7.12,1,Second Home,Refinance,NY,293198,2,0,0,0.506,Current,66.8,2025-01-06
FMAC-00007,790,88.45,42.86,188721,134,6.386,1,Primary,Purchase,TX,409199,2,0,0,0.414,Current,39.32,2025-01-07
FMAC-00008,733,92.33,22.53,685398,321,6.409,1,Second Home,Refinance,TX,926152,2,0,1,0.391,Current,142.79,2025-01-08
FMAC-00009,647,79.33,48.83,193606,22,5.594,1,Primary,Purchase,IL,193120,2,0,1,0.334,Current,40.33,2025-01-09
FMAC-00010,717,100.16,33.29,618938,88,7.084,1,Primary,Purchase,NC,227976,2,0,1,0.469,Paid Off,128.95,2025-01-10
FMAC-00011,647,60.87,37.06,257190,153,7.056,1,Primary,Purchase,TX,1000499,1,0,0,0.266,Current,53.58,2025-01-11
FMAC-00012,647,75.1,51.26,108930,125,7.361,1,Primary,Purchase,CA,637507,2,2,1,0.404,Current,22.69,2025-01-12
FMAC-00013,696,67.25,25.13,821067,79,5.914,1,Primary,Refinance,GA,470652,1,0,0,0.421,Current,171.06,2025-01-13
FMAC-00014,546,50.0,24.03,340102,346,7.496,1,Primary,Purchase,NC,411009,1,12,1,0.422,Current,70.85,2025-01-14
